Company,Model,Lens,NA,Zoom_x,Core_Technology,Configuration,type_of_interaction,Acquisition_mode,STR_nm,Accuracy_microns,Accuracy_percentage,Vertical_Resolution_nm,Sq_repeatability_nm,Repeatability _nm,Ra_repeatability_nm,Rz_repeatability_nm,Angular_Coverage_Perfectdiffuser_deg,Angular_Coverage_MirrorLike_deg,LATA_microns,Optical_Resolution_microns,Spatial_Sampling_microns,img_width,img_height,area_mm2,Line_Lenght_mm,XYspeed_mm/sec,Working_disitance_mm,Z_Speed_Sca_micron/sec,Z_stage,Z_working_range_mm,XY_Stage,Weight_Kg,Max_sample_weight_Kg,Frequency_KHz,Max_number_of_points_per_scan_,Sample_reflectivity_percentage,Measurement_time_s,COST,High_res_color_texture,Max. sample stage positioning range ,Intorduction date,Reference document
nanovea,H22000,Classical Optical Pen,,,Non Contact Chromatic Confocal ,Workstation,white light,Array,,0.3,,,,,,,,,22.5,,,,,200000,,500,10,,Motorized,100,,,7,,,,,,,,,
zygo,ZeGage Plus,STD 1.4x,0.04,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.85,,7.14,11.81,,,12.09,,,4,35,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 1.4x,0.04,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.85,,7.14,5.86,,,6,,,4,35,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 1.4x,0.04,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,1.85,,7.14,2.96,,,3.02,,,4,35,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 2.75x,0.08,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,3.71,,3.56,5.91,,,6.05,,,4.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 2.75x,0.08,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,3.71,,3.56,2.93,,,3,,,4.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 2.75x,0.08,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,3.71,,3.56,1.48,,,1.51,,,4.5,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 5.5x,0.15,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,7.27,,1.9,2.95,,,3.02,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 5.5x,0.15,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,7.27,,1.9,1.47,,,1.5,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 5.5x,0.15,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,7.27,,1.9,0.74,,,0.76,,,8,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 10x,0.3,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,14.53,,0.95,1.64,,,1.68,,,7.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 10x,0.3,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,14.53,,0.95,0.82,,,0.83,,,7.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 10x,0.3,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,14.53,,0.95,0.41,,,0.42,,,7.4,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 20x,4.7,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,21.8,,0.71,0.82,,,0.84,,,4.7,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 20x,4.7,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,21.8,,0.71,0.41,,,0.42,,,4.7,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 20x,4.7,2,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,21.8,,0.71,0.21,,,0.21,,,4.7,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 22x,0.1,0.5,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,4.84,,2.85,0.75,,,0.76,,,4.2,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
zygo,ZeGage Plus,STD 22x,0.1,1,CSI,Benchtop,white light,Array,0.15,0.3,3,,0.01,,,,,4.84,,2.85,0.37,,,0.38,,,4.2,,Automated,20,Manual or atuomated,54,,,,0.05-100,,,,,,
