Company,Model,Lens,NA,Zoom (x),Core_Technology,Configuration,type of interaction,Acquisition mode,STR (nm),Accuracy_micron,Vertical Resolution(nm),Sq repeatability (nm),Repatability (nm),Ra repeatability (nm),Rz repeatability (nm),Angular Coverage Perfect diffuser,Angular Coverage Mirror Like,LATA(micron),Optical Resolution(micron),Spatial_Sampling_micron,area_mm2,Line Lenght (mm),X-Y speed (mm/sec),Working disitance (mm),Z Speed Scan (micron/sec),Z stage,Z working range (mm),X/Y Stage,Weight (Kg),Max sample weight,Frequency (Khz),Max number of point per scan,Sample reflectivity (%),Measurement time (s),COST,High res color texture,Max. sample stage positioning range 
zygo,nomad,LWD 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,0.36,0.37,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 1x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,16.42,16.81,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 1x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,8.15,8.34,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 1x,0.03,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,1.34,,9.5,4.1,4.2,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 5x,0.12,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,5.81,,2.38,3.28,3.36,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 5x,0.12,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,5.81,,2.38,1.63,1.67,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,SLWD 5x,0.12,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,5.81,,2.38,0.82,0.84,,,40,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 2x,0.055,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,8.21,8.41,,,18.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 2x,0.055,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,4.07,4.17,,,18.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 2x,0.055,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,2.66,,5.18,2.05,2.1,,,18.5,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 5x,0.14,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,2.04,3.28,3.36,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 5x,0.14,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,2.04,1.63,1.67,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 5x,0.14,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,6.3,,2.04,0.82,0.84,,,19,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,1.44,1.47,,,18,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,0.72,0.73,,,18,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
zygo,nomad,GC 10x,0.28,,CSI,Porable,white light,Array,0.1,0.00001,,0.01,,,,86,13.13,,1.02,0.36,0.37,,,18,,Automated,20,Manual or atuomated,91,,,,0.05-100,,,,
LMI Technologies , R1X ,,,,structured light scanner,Portable,white light,Array,,65,,,,,,,,,,100,,,,370,,,,,,,,,,1.3,,1,
LMI Technologies , R1X ,,,,structured light scanner,Portable,white light,Array,,115,,,,,,,,,,200,,,,690,,,,,,,,,,1.3,,1,
LMI Technologies , R1X ,,,,structured light scanner,Portable,white light,Array,,125,,,,,,,,,,300,51150,,,1040,,,,,,,,,,1.3,,1,
LMI Technologies , R3X ,,,,structured light scanner,Portable,white light,Array,,45,,,,,,,,,,75,,,,370,,,,,,,,,,0.88,,1,
LMI Technologies , R3X ,,,,structured light scanner,Portable,white light,Array,,75,,,,,,,,,,165,,,,690,,,,,,,,,,0.88,,1,
LMI Technologies , R3X ,,,,structured light scanner,Portable,white light,Array,,105,,,,,,,,,,250,78453,,,1040,,,,,,,,,,0.88,,1,
LMI Technologies , R4X ,,,,structured light scanner,Portable,white light,Array,,36,,,,,,,,,,71,,,,385,,,,,,,,,,1.3,,1,
LMI Technologies , R4X ,,,,structured light scanner,Portable,white light,Array,,84,,,,,,,,,,228,143312,,,1110,,,,,,,,,,1.3,,1,
 Artec  3D,EVA ,,,,structured light scanner,Portable,?ash bulb,Array,,100,,,,,,,,,,500,31672,,,,,,60,,0.85,,,,,0.0002,,1,
 Artec  3D,Spider,,,,structured light scanner,Portable,blue LED,Array,,100,,,,,,,,,,100,6300,,,,,,,,0.85,,,,,0.0002,,1,
 Artec  3D,Space spider,,,,structured light scanner,Portable,blue LED,Array,,50,,,,,,,,,,100,6300,,,,,,,,0.85,,,,,0.0005,,1,
aicon 3D,stereoSCAN neo,,,,structured light scanner,Portable,,Array,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,25,,,,,,,,,,140,81225,,,1000,,,220,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,44,,,,,,,,,,250,260100,,,1000,,,350,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,53,,,,,,,,,,295,360000,,,1000,,,400,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,7,,,,,,,,,,27,2860,,,370,,,36,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,9,,,,,,,,,,50,9025,,,370,,,60,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,14,,,,,,,,,,85,28900,,,370,,,110,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,38,,,,,,,,,,210,189225,,,1500,,,300,,4,,,28723200,,1,,1,
aicon 3D,smartSCAN-HE,,,,structured light scanner,Portable, High Power LED ,Array,,79,,,,,,,,,,445,828100,,,1500,,,600,,4,,,28723200,,1,,1,
aicon 3D,PrimeScan ,,,,structured light scanner,Portable,,Array,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,1,
einscan,EinScan-Pro+,,,,structured light scanner,Portable,,Array,,100,,,,,,,,,,200,,,,,,,,,0.8,,,,,1,,1,
Alicone,IF-PORTAbLE ,,0.075,2.5,Focus variation,Portable,white light,Array,,1.8,1800,,,,,87,,,,4.4,37.17,,,8.8,,,8,,10,,,1920000,,,,,
Alicone,IF-PORTAbLE ,,0.15,5,Focus variation,Portable,white light,Array,,0.45,450,,,,,87,,,,2.2,9.29,,,23.5,,,22,,10,,,1920000,,,,,
Alicone,IF-PORTAbLE ,,0.3,10,Focus variation,Portable,white light,Array,,0.11,110,,,0.3,,87,,,,1.1,2.32,,,17.5,,,16,,10,,,1920000,,,,,
Alicone,IF-PORTAbLE ,,0.4,20,Focus variation,Portable,white light,Array,,0.06,60,,,0.18,,87,,,,0.55,0.58,,,19,,,18,,10,,,1920000,,,,,
Alicone,IF-PORTAbLE ,,0.6,50,Focus variation,Portable,white light,Array,,0.06,60,,,0.18,,87,,,,0.22,0.09,,,11,,,10.5,,10,,,1920000,,,,,
Alicone,IF-PORTAbLE ,,0.8,100,Focus variation,Portable,white light,Array,,0.06,60,,,0.18,,87,,,,0.11,0.02,,,4.5,,,4,,10,,,1920000,,,,,
Proto3000,METRASCAN 750 ,,,,structured light scanner,Portable,white light,Array,,30,,,,,,,,,,50,68750,,,300,,,200,,1.38,,,,,,,,
Proto3000,METRASCAN 750 ELITE ,,,,structured light scanner,Portable,white light,Array,,30,,,,,,,,,,50,68750,,,300,,,200,,1.38,,,,,,,,
Proto3000,METRASCAN 350 ,,,,structured light scanner,Portable,white light,Array,,40,,,,,,,,,,50,56250,,,300,,,200,,1.38,,,,,,,,
Proto3000,METRASCAN 350 ELITE ,,,,structured light scanner,Portable,white light,Array,,40,,,,,,,,,,50,56250,,,300,,,200,,1.38,,,,,,,,
UniVr-Optimet,Vertical ,50 mm,,,Conoscopic Holography,Portable,Laser,Array,,1.7,,,1700,,,,,,,10,90000,,,,,,,,,,,,,,,,
